Month,usg_apt,fg_apt,carrier,type,Scheduled
6,LAS,YYZ,RV,Passengers,26259
6,MIA,FRA,LH,Passengers,26217
6,LAX,NRT,NH,Passengers,26153
6,LAS,YYC,WS,Passengers,26150
6,CLT,PUJ,AA,Passengers,26091
6,IAH,FRA,LH,Passengers,26090
6,IAH,DXB,EK,Passengers,26034
6,SFO,LHR,VS,Passengers,26021
6,SFO,MEX,AM,Passengers,25934
6,EWR,YYZ,KV,Passengers,25854
6,DFW,MAD,AA,Passengers,25829
6,JFK,PTY,CM,Passengers,25710
6,MIA,SJO,AA,Passengers,25598
6,BOS,LHR,VS,Passengers,25595
6,MIA,SCL,LA,Passengers,25574
6,SFO,PEK,CA,Passengers,25540
6,MIA,MEX,AA,Passengers,25511
6,HNL,HND,HA,Passengers,25332
6,JFK,ZRH,LX,Passengers,25293
6,MIA,LIM,LP,Passengers,25217
6,JFK,ICN,OZ,Passengers,25129
6,ORD,ZRH,LX,Passengers,25014
6,MIA,GUA,AA,Passengers,24958
6,JFK,PUJ,B6,Passengers,24918
6,LAS,MEX,AM,Passengers,24802
6,MCO,MAN,MT,Passengers,24798
6,LAX,SYD,QF,Passengers,24652
6,LAX,PTY,CM,Passengers,24619
6,IAD,SAL,TA,Passengers,24607
6,LAX,GDL,AM,Passengers,24592
6,MIA,EZE,AR,Passengers,24514
6,DFW,CDG,AA,Passengers,24493
6,JFK,TLV,DL,Passengers,24347
6,EWR,CPH,SK,Passengers,24236
6,JFK,LHR,DL,Passengers,24076
6,BOS,CDG,AF,Passengers,23926
6,ATL,SJO,DL,Passengers,23918
6,LAX,YUL,AC,Passengers,23877
6,ORD,WAW,LO,Passengers,23811
6,DFW,YVR,AA,Passengers,23709
6,DTW,LHR,DL,Passengers,23645
6,FLL,HAV,WN,Passengers,23478
6,JFK,MAN,VS,Passengers,23440
6,MIA,NAS,YX,Passengers,23210
6,DTW,CDG,DL,Passengers,23114
6,JFK,CUN,B6,Passengers,23060
6,MIA,BGI,AA,Passengers,22963
6,MIA,MBJ,AA,Passengers,22793
6,SFO,ICN,UA,Passengers,22637
6,DFW,CUN,SY,Passengers,22581
6,JFK,MEX,4O,Passengers,22575
6,JFK,CDG,DL,Passengers,22433
6,ORD,YYZ,UA,Passengers,22402
6,MIA,KIN,AA,Passengers,22333
6,IAD,KEF,FI,Passengers,22308
6,IAH,MTY,YV,Passengers,22267
6,ORD,CUN,UA,Passengers,22177
6,LAX,SVO,SU,Passengers,22177
6,IAH,SAL,UA,Passengers,22125
6,GUM,ICN,LJ,Passengers,22096
6,LAX,PPT,TN,Passengers,21998
6,SFO,CUN,UA,Passengers,21945
6,BOS,ZRH,LX,Passengers,21805
6,LAX,CDG,DY,Passengers,21797
6,ATL,AMS,KL,Passengers,21791
6,IAH,SJD,UA,Passengers,21755
6,BOS,YTZ,PD,Passengers,21669
6,ATL,MAN,VS,Passengers,21644
6,MIA,BOG,AA,Passengers,21475
6,ATL,GUA,DL,Passengers,21461
6,IAH,GUA,UA,Passengers,21303
